gene	WT_UN120_r1	WT_UN120_r2	WT_UN120_r3	WT_EM30_r1	WT_EM30_r2	WT_EM30_r3	WT_EM120_r1	WT_EM120_r2	WT_EM120_r3	EDF1_ko_UN120_r1	EDF1_ko_UN120_r2	EDF1_ko_UN120_r3	EDF1_ko_EM30_r1	EDF1_ko_EM30_r2	EDF1_ko_EM30_r3	EDF1_ko_EM120_r1	EDF1_ko_EM120_r2	EDF1_ko_EM120_r3
ENSG00000186092|OR4F5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284733|OR4F29	0.0	3.468	0.0	4.0	0.0	0.0	0.0	1.0	3.0	3.0	1.497	6.0	3.833	7.0	7.0	0.0	4.0	5.0
ENSG00000187634|SAMD11	216.0	405.999	346.00100000000003	417.99999999999994	339.00000000000006	392.99999999999994	544.9999999999999	476.0000000000001	515.998	278.0	255.999	204.001	261.0	275.999	287.999	508.99999999999994	607.0000000000001	364.0010000000001
ENSG00000188976|NOC2L	5359.0	9535.0	8592.0	10016.0	6235.0	7660.0	5728.0	6384.0	5081.0	5064.0	6380.0	4606.0	5048.0	5908.0	6854.0	9078.0	10466.0	7079.0
ENSG00000187961|KLHL17	143.0	221.0	216.00100000000006	275.0	141.0	174.999	255.001	276.999	208.0	99.999	97.0	96.0	116.99900000000001	136.0	154.0	231.99900000000002	258.999	173.99999999999997
ENSG00000187583|PLEKHN1	13.0	19.0	15.0	14.0	13.0	31.000000000000007	15.0	13.0	12.0	13.0	16.0	16.0	9.0	6.0	8.0	6.0	12.0	10.0
ENSG00000187642|PERM1	18.0	27.0	22.0	54.0	16.0	36.0	24.0	26.0	14.0	32.0	34.0	20.0	17.0	9.0	13.0	19.0	38.0	24.0
ENSG00000188290|HES4	330.0	509.0	448.0	549.0	187.00000000000003	227.00000000000003	332.00000000000006	278.0	284.0	177.001	241.0	201.001	273.0	218.99999999999997	278.0	326.999	648.0	441.0
ENSG00000187608|ISG15	69.0	102.0	78.0	106.001	53.0	98.0	93.0	103.0	89.0	48.0	56.0	41.0	80.0	58.001	65.99900000000001	122.00000000000003	106.0	95.0
ENSG00000188157|AGRN	629.999	1085.0	1014.999	1085.0	927.9999999999999	1103.9999999999998	750.0000000000001	727.0	601.0	868.001	956.0	652.0	667.0	1029.0	888.0000000000001	879.9999999999998	874.9989999999999	476.0
ENSG00000237330|RNF223	9.0	7.0	6.0	10.0	7.0	7.0	14.0	8.0	6.0	14.0	12.0	10.0	5.0	8.0	16.0	2.0	9.0	5.0
ENSG00000131591|C1orf159	67.001	142.00000000000003	151.99999999999994	166.00000000000003	85.00000000000001	100.00000000000001	130.002	110.00000000000001	140.0	81.00000000000001	81.99999999999999	83.00099999999998	81.0	108.0	83.0	107.0	194.001	129.0
ENSG00000162571|TTLL10	2.0	14.0	10.0	14.0	9.0	8.0	3.0	4.0	8.0	9.0	10.0	9.0	2.0	3.0	3.0	5.0	12.0	4.0
ENSG00000186891|TNFRSF18	10.0	5.0	6.0	13.0	14.0	29.0	9.0	6.0	9.0	11.0	11.0	6.0	5.0	5.0	9.0	7.0	14.0	7.0
ENSG00000186827|TNFRSF4	1.0	0.0	5.0	5.0	2.0	5.0	2.0	4.0	3.0	1.0	2.0	1.0	0.0	2.0	4.0	1.0	7.0	5.0
ENSG00000078808|SDF4	1203.999	2225.0009999999997	2169.0	2281.0	1874.0	2195.0	1772.9999999999998	2156.001	1721.0009999999997	1653.001	1748.0	1501.999	1483.0010000000002	1843.9989999999998	2045.0	2585.0	2752.001	1881.001
ENSG00000176022|B3GALT6	592.0	1042.0	1021.0	1159.0	599.0	645.0	820.0	866.0	793.0	524.0	613.0	574.0	749.0	870.0	883.0	1004.0	1296.0	925.0
ENSG00000184163|C1QTNF12	0.0	5.0	6.0	2.0	2.0	1.0	0.0	2.0	4.0	2.0	0.0	5.0	1.0	0.0	3.0	1.0	3.0	3.0
ENSG00000160087|UBE2J2	727.0000000000001	1204.999	1045.0009999999997	1359.001	715.0	857.0	949.0030000000002	1178.0	1045.002	705.0020000000001	766.9999999999999	669.001	696.0010000000001	774.9989999999999	822.999	1158.0	1600.999	1086.002
ENSG00000162572|SCNN1D	21.0	46.0	36.0	65.0	41.0	54.99999999999999	59.99999999999999	41.0	52.0	50.0	43.001	37.0	31.0	30.999000000000002	37.0	83.001	77.0	42.999
