UniqueCount	AmbigCount
0	0
0	0
1	6
74	57
0	27
0	185
1	126
0	183
0	144
0	180
0	175
0	172
0	131
0	172
1	134
12	81
5908	0
59	71
3	73
1	17
0	5
1	5
0	5
0	0
0	8
1	8
44	106
65	106
4	35
5	46
6	21
1	36
0	1026
0	952
0	894
0	820
8	0
0	64
0	68
0	74
15	65
0	62
7	47
0	33
0	25
3	14
0	6
0	4
0	2
0	0
0	2
0	2
1	0
0	0
0	3
0	3
2	0
0	0
2	0
0	1810
2	1676
2	1359
0	1676
0	1722
8	824
870	0
0	0
12	607
0	613
6	675
1	356
1	405
1	271
0	256
0	244
1	238
0	103
1	97
0	99
5	107
0	9
0	64
23	3
0	19
0	13
4	16
0	16
0	1
0	17
7	6
148	394
5	330
0	123
121	82
3	82
0	680
0	683
0	529
0	446
0	841
0	533
10	425
0	679
1	562
0	513
0	734
0	676
0	650
2	280
0	244
0	332
5	244
0	115
0	168
1	149
0	149
102	268
4	77
0	56
0	55
6	2
0	8
99	22
8	22
18	0
0	501
18	496
0	237
2	97
0	104
3	9
0	11
0	9
0	11
47	757
27	745
0	745
6	756
76	1097
2	904
1	762
188	1110
3	753
31	231
8	84
7	29
776	660
17	20
31	659
0	11
0	12
0	15
0	15
0	2
3	0
1	3
3	72
15	75
0	0
7	90
0	0
755	409
441	2098
113	1958
0	2031
1	2030
3	258
1	1
0	1
7	0
1031	233
525	235
46	0
0	395
1	429
0	286
0	425
0	410
0	39
0	410
0	18
2	261
0	39
0	423
0	20
0	368
3	314
3	318
2	12
1	47
0	6
0	1
9	7
7	6
0	5
0	6
0	4
1	1
10	1631
0	1447
0	1326
21	1379
7	1489
0	1304
0	1304
0	1304
21	198
1	893
4	871
19	923
5	762
0	759
0	518
0	713
2	857
0	870
0	716
9	161
6	6
3	225
110	359
45	948
7	948
12	833
6	605
4	7
3	307
13	119
1	158
83	3673
1	3460
64	4221
4	988
2	1260
4	445
0	1
0	1
0	2
0	2
0	1
0	1
0	1
0	4
0	4
0	0
0	8
8	21
0	13
0	13
0	15
0	19
1	19
0	9
0	4
0	2
51	533
0	91
0	9
2	499
0	64
5	476
0	81
0	112
3	93
1	109
1	94
1	108
0	128
0	105
0	75
0	66
1	64
1	323
0	65
4	94
0	116
0	40
0	75
0	99
0	16
29	38
2186	0
4	278
7	280
62	73
14	75
5	5
0	969
0	248
8	1421
2	567
18	995
0	505
110	675
66	497
0	469
1	488
0	415
6	80
0	7
6	4
1	8
1	2
4	5
1	7
0	7
0	3
0	584
0	487
0	325
0	487
0	51
4	65
0	143
10	53
8	0
0	0
0	0
2	0
0	0
0	0
3	0
0	0
0	261
0	243
2	268
0	243
0	69
0	249
