UniqueCount	AmbigCount
0	0
0	0
2	4
57	31
0	16
0	135
0	98
0	135
0	116
0	130
0	129
0	125
0	103
0	123
1	100
7	50
4606	0
35	51
7	53
1	20
5	7
4	7
0	7
0	0
0	18
2	18
59	77
61	77
4	39
6	31
3	14
1	29
0	648
0	605
0	547
0	504
10	0
0	43
0	50
0	51
14	47
0	45
3	34
0	20
0	22
0	9
3	7
0	7
0	4
2	1
0	5
0	5
4	2
0	1
0	3
2	3
1	0
0	0
1	0
1	1465
4	1302
0	1065
0	1302
0	1357
8	611
574	0
5	0
9	547
0	549
10	583
2	339
2	378
1	310
0	330
0	314
1	253
0	134
0	85
0	74
4	90
0	14
1	46
22	1
0	26
0	14
6	22
0	22
0	3
1	23
3	4
100	282
2	241
2	83
75	43
9	43
0	376
0	374
0	309
0	239
0	480
0	310
4	232
0	375
0	333
0	285
0	416
0	364
0	344
0	127
0	118
0	179
0	143
0	61
0	73
0	61
0	61
75	151
0	30
1	38
0	23
7	4
0	2
69	8
5	8
12	0
0	374
9	360
0	175
0	82
0	100
3	7
0	11
0	10
1	11
41	635
28	629
0	630
6	635
78	714
0	571
1	489
158	711
5	485
25	174
4	80
4	40
641	425
19	9
46	425
0	10
3	12
0	12
0	11
0	3
2	0
2	11
7	52
17	63
0	0
13	64
0	0
483	359
402	1640
76	1513
0	1550
0	1550
2	159
8	1
0	1
13	0
818	153
344	154
48	0
4	329
0	348
0	233
0	348
1	335
1	25
1	332
0	9
1	201
1	24
0	344
0	13
0	303
4	257
0	264
5	18
3	48
0	1
0	1
13	4
3	1
0	1
0	2
0	1
3	0
9	1271
0	1141
0	1042
27	1001
6	1161
0	954
0	954
0	954
7	145
2	644
0	628
29	696
11	586
3	576
0	418
0	567
2	640
0	653
0	537
1	101
8	5
10	157
111	250
51	628
4	628
9	541
2	373
5	4
0	204
2	86
2	77
60	2687
0	2546
97	3166
1	678
0	836
1	318
0	3
0	3
1	8
0	8
0	0
1	2
0	0
0	3
3	3
0	0
0	8
2	19
0	11
0	13
0	15
0	15
0	17
0	8
0	5
0	1
35	317
0	54
0	6
2	302
0	45
4	285
0	64
1	86
0	69
0	86
2	74
2	78
0	92
0	81
0	53
0	45
0	49
0	194
1	31
3	52
0	60
0	20
0	68
0	84
0	12
17	24
1651	0
2	197
9	199
66	55
16	57
3	5
10	749
0	123
12	1092
2	350
9	786
3	317
95	487
46	341
0	309
1	330
0	291
1	58
0	9
1	2
1	9
0	1
14	14
4	14
0	14
0	11
1	333
0	278
1	154
0	266
0	28
1	20
0	76
2	32
6	0
0	1
0	1
6	1
0	1
0	1
7	1
3	0
0	224
2	220
3	232
0	212
0	65
2	226
2	26
0	19
