UniqueCount	AmbigCount
0	0
0	0
1	3
122	75
0	27
1	265
2	183
0	270
0	222
2	262
0	258
0	250
0	187
0	246
1	201
17	86
10016	0
125	125
16	130
4	33
4	10
0	10
0	10
0	1
0	47
7	47
103	225
207	225
14	70
6	86
12	31
2	77
0	1075
0	1018
0	936
0	879
10	0
0	96
0	107
0	110
30	98
0	97
6	69
0	42
0	33
1	17
1	11
0	3
0	1
4	0
0	5
0	5
9	4
0	0
0	8
2	9
2	1
0	0
5	0
1	2221
3	1938
2	1539
0	1936
0	2080
6	868
1159	0
2	0
6	1094
0	1086
37	1169
2	661
6	740
1	560
0	611
0	573
1	422
1	221
3	178
2	170
15	191
0	27
1	86
51	5
1	32
1	21
12	33
0	33
0	6
1	29
13	4
199	685
3	582
4	183
221	78
7	78
0	677
0	673
0	558
0	479
0	905
0	559
8	439
0	675
1	594
0	506
0	813
0	668
0	679
0	247
0	183
1	344
11	253
0	88
0	126
3	93
0	93
135	344
0	63
1	74
0	46
6	4
0	10
108	17
5	17
39	0
1	691
21	670
0	306
1	136
0	163
4	19
0	23
0	20
4	23
94	1556
53	1543
1	1543
12	1552
123	1960
6	1492
0	1276
406	1964
6	1341
92	513
12	223
11	133
1467	1123
49	8
131	1121
0	19
2	20
0	21
0	19
2	8
3	0
3	7
10	56
42	63
1	0
15	92
0	0
1522	966
860	3386
183	2905
0	3223
0	3223
4	249
6	5
0	5
22	0
2008	228
650	234
106	0
3	379
2	432
0	302
0	433
2	412
0	33
2	408
1	16
4	262
0	37
0	427
0	19
0	336
8	302
5	302
10	20
0	51
1	14
1	0
24	13
7	14
0	14
0	11
0	9
6	5
8	3549
0	3081
0	2809
72	2854
21	3228
0	2696
0	2695
0	2695
12	206
2	1145
2	1140
68	2361
14	1991
4	1959
0	1559
0	2089
7	2158
0	2216
0	1799
19	310
15	12
11	239
128	449
73	1195
11	1196
10	999
19	672
3	3
11	331
9	86
5	204
122	4706
1	4563
232	5702
8	839
1	1450
3	553
1	3
1	3
5	8
0	8
0	2
5	1
0	1
0	13
4	13
0	0
0	12
7	25
0	10
0	12
2	12
0	20
1	20
0	7
0	4
0	2
134	785
3	120
6	28
3	724
3	83
16	667
0	115
0	171
1	131
2	169
3	136
3	163
3	184
0	155
0	96
4	82
3	93
1	430
4	91
3	150
0	171
0	64
0	104
0	139
0	33
28	58
3516	0
2	352
19	356
104	107
23	112
12	15
15	1531
0	222
48	2113
3	535
20	1462
4	468
194	907
112	688
0	646
2	691
0	593
6	116
0	12
4	11
3	20
6	1
6	27
3	28
0	28
0	21
1	806
0	645
1	352
0	655
1	54
1	59
1	217
14	82
15	0
0	2
0	2
11	2
0	2
0	2
