UniqueCount	AmbigCount
0	0
0	0
0	4
109	58
0	25
0	216
1	163
0	216
0	179
0	213
0	208
0	208
1	164
0	206
0	166
18	78
8592	0
95	100
17	102
2	25
0	12
2	13
0	12
0	0
0	18
4	18
86	197
149	197
16	91
5	49
19	22
5	40
0	1005
0	940
0	875
0	810
6	0
0	102
0	113
0	111
15	103
0	94
4	84
0	50
0	44
1	24
0	11
0	10
0	7
3	2
0	8
0	8
2	6
0	0
0	6
0	6
0	1
0	1
5	0
4	2121
1	1874
0	1496
0	1872
0	1932
2	785
1021	0
6	0
17	852
0	856
19	889
4	550
3	581
3	426
0	483
0	455
4	320
0	157
3	124
1	132
6	146
0	27
2	50
40	5
2	22
0	15
8	24
0	24
0	4
0	20
1	4
136	507
1	420
1	134
204	86
5	86
0	555
0	554
0	461
0	347
0	699
0	464
5	358
0	554
1	494
0	425
0	634
0	549
0	498
0	201
0	193
0	248
8	158
0	72
0	92
1	70
0	71
122	225
2	44
0	53
0	26
9	6
0	4
111	21
7	21
25	0
1	620
26	612
0	305
0	121
0	137
2	8
0	11
0	11
0	11
79	1366
72	1357
1	1356
11	1361
128	1449
2	1168
4	950
348	1444
7	1013
109	334
16	136
6	61
1225	871
33	16
92	869
0	20
1	21
0	26
0	24
4	5
5	0
0	5
5	64
16	69
0	2
17	95
0	0
1121	664
603	2746
118	2419
0	2608
1	2608
2	233
6	1
0	1
21	0
1740	193
586	198
78	0
2	304
1	351
0	255
0	353
3	334
0	27
3	334
0	17
1	225
0	35
0	352
2	17
0	280
5	249
6	250
6	17
0	47
1	8
1	3
2	14
6	8
0	6
0	7
0	4
2	2
4	2182
0	1997
0	1829
40	1782
9	2001
0	1682
0	1682
0	1682
10	172
0	1025
4	997
27	1334
20	1091
1	1078
1	964
0	1180
2	1218
0	1252
0	1101
10	216
13	4
6	185
132	363
71	933
8	933
12	781
7	508
4	2
3	254
2	93
1	136
102	3930
0	3866
165	4736
7	741
0	1108
3	373
0	1
0	1
1	9
0	9
0	1
0	1
0	1
0	11
4	11
0	0
0	13
2	17
0	12
0	13
2	14
0	13
1	12
1	9
0	4
0	2
77	539
0	108
4	12
5	491
1	70
5	459
0	84
6	111
0	91
6	110
6	96
0	103
0	122
0	104
1	76
1	70
1	53
0	284
0	62
4	109
1	127
0	43
0	78
0	104
1	34
33	54
3173	0
6	263
13	267
95	83
22	87
13	3
11	1305
0	212
37	1701
3	366
19	1211
3	324
195	668
82	541
0	523
7	544
1	485
3	109
0	16
2	14
3	17
0	1
11	16
5	18
0	18
0	13
0	501
0	422
0	210
0	402
0	22
0	36
0	118
17	57
7	0
0	4
0	4
1	4
0	4
0	4
5	4
2	0
0	271
